,clustering_coef,degree_centrality,closeness_centrality,betweenness_centrality
661616,0,0.00031347962382445143,0.00031347962382445143,0.0
164634,0,0.00031347962382445143,0.00031347962382445143,0.0
164639,0,0.00031347962382445143,0.00031347962382445143,0.0
164528,0,0.00031347962382445143,0.00031347962382445143,0.0
164635,0,0.00031347962382445143,0.00031347962382445143,0.0
435961,0,0.00031347962382445143,0.00031347962382445143,0.0
435962,0,0.00031347962382445143,0.00031347962382445143,0.0
435952,0,0.00031347962382445143,0.0004179728317659352,0.0
687178,0,0.0006269592476489029,0.0006269592476489029,1.9660057938190745e-07
433983,0,0.00031347962382445143,0.00031347962382445143,0.0
687123,0,0.00031347962382445143,0.00031347962382445143,0.0
435950,0,0.00031347962382445143,0.00031347962382445143,0.0
435951,0,0.00031347962382445143,0.00031347962382445143,0.0
687177,0,0.00031347962382445143,0.0004179728317659352,0.0
434218,0,0.00031347962382445143,0.00031347962382445143,0.0
434217,0,0.00031347962382445143,0.00031347962382445143,0.0
168510,0,0.00031347962382445143,0.00031347962382445143,0.0
662216,0,0.00031347962382445143,0.00031347962382445143,0.0
169139,0,0.00031347962382445143,0.00031347962382445143,0.0
169140,0,0.00031347962382445143,0.00031347962382445143,0.0
166876,0,0.00031347962382445143,0.00031347962382445143,0.0
166877,0,0.00031347962382445143,0.00031347962382445143,0.0
163077,0,0.00031347962382445143,0.00031347962382445143,0.0
163079,0,0.00031347962382445143,0.00031347962382445143,0.0
163248,0,0.00031347962382445143,0.00031347962382445143,0.0
163249,0,0.00031347962382445143,0.00031347962382445143,0.0
166971,0,0.00031347962382445143,0.00031347962382445143,0.0
166972,0,0.00031347962382445143,0.00031347962382445143,0.0
167346,0,0.00031347962382445143,0.00031347962382445143,0.0
662012,0,0.00031347962382445143,0.00031347962382445143,0.0
167064,0,0.00031347962382445143,0.00031347962382445143,0.0
167065,0,0.00031347962382445143,0.00031347962382445143,0.0
143457,0,0.00031347962382445143,0.00031347962382445143,0.0
143458,0,0.00031347962382445143,0.00031347962382445143,0.0
659864,0,0.00031347962382445143,0.00031347962382445143,0.0
659866,0,0.00031347962382445143,0.00031347962382445143,0.0
143467,0,0.00031347962382445143,0.00031347962382445143,0.0
143469,0,0.00031347962382445143,0.00031347962382445143,0.0
143494,0,0.00031347962382445143,0.00031347962382445143,0.0
143495,0,0.00031347962382445143,0.00031347962382445143,0.0
143502,0,0.00031347962382445143,0.00031347962382445143,0.0
143508,0,0.00031347962382445143,0.00031347962382445143,0.0
143414,0,0.00031347962382445143,0.00031347962382445143,0.0
143416,0,0.00031347962382445143,0.00031347962382445143,0.0
143050,0,0.00031347962382445143,0.00031347962382445143,0.0
143051,0,0.00031347962382445143,0.00031347962382445143,0.0
142537,0,0.00031347962382445143,0.00031347962382445143,0.0
142818,0,0.00031347962382445143,0.00031347962382445143,0.0
153308,0,0.00031347962382445143,0.00031347962382445143,0.0
660720,0,0.00031347962382445143,0.00031347962382445143,0.0
143267,0,0.00031347962382445143,0.00031347962382445143,0.0
143265,0,0.00031347962382445143,0.00031347962382445143,0.0
389179,0,0.00031347962382445143,0.00031347962382445143,0.0
681211,0,0.00031347962382445143,0.00031347962382445143,0.0
16125,0,0.00031347962382445143,0.00031347962382445143,0.0
388774,0,0.00031347962382445143,0.00031347962382445143,0.0
15297,0,0.00031347962382445143,0.00031347962382445143,0.0
388928,0,0.00031347962382445143,0.00031347962382445143,0.0
681204,0,0.00031347962382445143,0.00031347962382445143,0.0
